Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
United Services Recreation Club M3,14,13,1,71,58,12
Royal Hong Kong Yacht Club M3,15,11,4,66,55,20
Hong Kong Football Club M3A,14,12,2,63,51,19
Old Squash Fellows,14,8,6,45,37,33
Hong Kong Football Club M3B,14,7,7,44,37,33
Hong Kong Cricket Club M3,15,4,11,25,21,54
Kowloon Cricket Club M3,15,2,13,18,16,59
Titlows Squash Team,15,1,14,16,15,60
