Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club L1A,8,7,1,25,18,6,0,2,0,0
Hong Kong Football Club L1,8,4,4,18,14,10,0,0,0,0
JESSICA L1,8,4,4,16,12,12,2,1,0,0
Kowloon Cricket Club L1B,8,4,4,14,10,14,0,0,0,0
Hong Kong Cricket Club L1,8,1,7,7,6,18,2,1,0,0
