Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M4A,10,8,2,41,33,17,0,0,0,0
SKCSC M4,10,7,3,39,32,18,0,0,0,0
WAKO,10,7,3,38,31,19,0,0,0,0
Hong Kong Football Club M4B,10,6,4,35,29,21,0,0,0,0
Hong Kong Cricket Club M4,10,6,4,33,27,23,0,0,0,0
Kowloon Cricket Club M4,10,5,5,32,27,23,0,0,0,0
United Services Recreation Club M4,10,3,7,29,26,24,0,0,0,0
Hong Kong Club Blue,10,3,7,21,18,32,0,0,0,0
Royal Hong Kong Yacht Club M4,10,3,7,16,13,37,0,0,0,0
Bolton,10,2,8,16,14,36,0,0,0,0
