Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 1A,10,7,3,26,19,11,0,0,0,0
Kowloon Cricket Club 1A,10,6,4,26,20,10,0,1,0,0
Hong Kong Cricket Club D1,10,6,4,22,16,14,0,0,0,1
Hong Kong Football Club 1B,10,5,5,21,16,14,0,2,0,0
FWD,10,3,7,13,10,20,0,0,0,1
Kowloon Cricket Club 1B,10,3,7,11,9,21,3,0,2,0
