Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club 7B,56.25,81.25,87.5,75.0,53.333333333333336,70.66666666666666,79
Physical Chess 2,50.0,68.75,81.25,81.25,71.42857142857143,70.53571428571429,78
i-Mask Advance Squash Club 1,82.35294117647058,76.47058823529412,35.294117647058826,47.05882352941176,46.666666666666664,57.5686274509804,83
Hong Kong Football Club 7A,62.5,31.25,62.5,56.25,73.33333333333333,57.166666666666664,79
UST,60.0,81.25,56.25,26.666666666666668,38.46153846153847,52.52564102564103,75
Hong Kong Cricket Club D7B,12.5,43.75,37.5,50.0,80.0,44.75,79
Xavier,60.0,40.0,40.0,73.33333333333333,0.0,42.666666666666664,67
Hong Kong Cricket Club D7A,40.0,50.0,50.0,46.666666666666664,18.181818181818183,40.96969696969697,73
Thunder 1,52.94117647058824,41.17647058823529,47.05882352941176,29.411764705882355,28.57142857142857,39.831932773109244,82
Social Squash Team,37.5,18.75,37.5,50.0,50.0,38.75,78
Kinetic 1,35.294117647058826,17.647058823529413,17.647058823529413,17.647058823529413,53.84615384615385,28.416289592760183,81
