Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Royal Hong Kong Yacht Club M3,100.0,75.0,50.0,50.0,75.0,70.0,20
United Services Recreation Club M3,25.0,50.0,100.0,100.0,75.0,70.0,20
Hong Kong Football Club M3A,50.0,75.0,50.0,50.0,75.0,60.0,20
Hong Kong Football Club M3B,50.0,50.0,75.0,75.0,50.0,60.0,20
Old Squash Fellows,100.0,75.0,25.0,0.0,25.0,45.0,20
Hong Kong Cricket Club M3,50.0,25.0,50.0,25.0,25.0,35.0,20
Kowloon Cricket Club M3,25.0,0.0,25.0,75.0,25.0,30.0,20
Titlows Squash Team,0.0,50.0,25.0,25.0,50.0,30.0,20
