Home Team,Away Team,Venue,Match Week,Date
TKO Junior 2,NEXUS 4,Cornwall Street Squash Centre,1,2025-10-04
Happy Squash 5,NEXUS 4,Cornwall Street Squash Centre,2,2025-10-11
TKO Junior 2,Squashathon Junior,Cornwall Street Squash Centre,3,2025-10-18
Electrify Squash Div 15,Vitality Squash 3,HK Squash Centre,3,2025-10-18
Squashathon Junior,NEXUS 4,Cornwall Street Squash Centre,4,2025-10-25
Electrify Squash Div 15,TKO Junior 2,Cornwall Street Squash Centre,6,2025-11-29
Happy Squash 5,Squashathon Junior,Cornwall Street Squash Centre,6,2025-11-29
TKO Junior 2,Happy Squash 5,Cornwall Street Squash Centre,7,2025-12-13
NEXUS 4,TKO Junior 2,Cornwall Street Squash Centre,8,2025-12-20
NEXUS 4,Happy Squash 5,Cornwall Street Squash Centre,9,2026-01-10
Squashathon Junior,TKO Junior 2,Cornwall Street Squash Centre,10,2026-01-17
Vitality Squash 3,Electrify Squash Div 15,HK Squash Centre,10,2026-01-17
NEXUS 4,Squashathon Junior,Cornwall Street Squash Centre,11,2026-01-24
RC,Vitality Squash 3,HK Squash Centre,13,2026-02-07
Squashathon Junior,Happy Squash 5,Cornwall Street Squash Centre,13,2026-02-07
Happy Squash 5,TKO Junior 2,Cornwall Street Squash Centre,14,2026-02-14
TKO Junior 2,NEXUS 4,Cornwall Street Squash Centre,15,2026-03-07
Happy Squash 5,NEXUS 4,Cornwall Street Squash Centre,16,2026-03-14
TKO Junior 2,Squashathon Junior,Cornwall Street Squash Centre,17,2026-03-21
Electrify Squash Div 15,Vitality Squash 3,HK Squash Centre,17,2026-03-21
Dream Catchers,Electrify Squash Div 15,HK Squash Centre,18,2026-03-28
Squashathon Junior,NEXUS 4,Cornwall Street Squash Centre,18,2026-03-28
Happy Squash 5,Squashathon Junior,Cornwall Street Squash Centre,20,2026-04-18
TKO Junior 2,Happy Squash 5,Cornwall Street Squash Centre,21,2026-04-25
