Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club,1,2025-10-02
Titlows Squash Master,OSF,Masters - HK Squash Centre,3,2025-10-16
Titlows Squash Master,Kowloon Cricket Club M3,Masters - Harbour Road Sports Centre,4,2025-10-23
Titlows Squash Master,Royal Hong Kong Yacht Club M3,Masters - Harbour Road Sports Centre,7,2025-11-13
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club,8,2025-11-20
OSF,Titlows Squash Master,Masters - HK Squash Centre,10,2025-12-11
OSF,Royal Hong Kong Yacht Club M3,Masters - Cornwall Street Squash Centre,11,2025-12-18
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club,15,2026-01-29
Titlows Squash Master,OSF,Masters - HK Squash Centre,17,2026-02-12
Titlows Squash Master,Royal Hong Kong Yacht Club M3,Masters - Harbour Road Sports Centre,21,2026-03-26
