Home Team,Away Team,Venue,Match Week,Date
Thunder 1,Xavier,Cornwall Street Squash Centre,1,2025-10-08
Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7B,Hong Kong Cricket Club,1,2025-10-08
Hong Kong Cricket Club D7A,i-Mask Advance Squash Club 1,HK Squash Centre,2,2025-10-15
Physical Chess 2,Xavier,Cornwall Street Squash Centre,3,2025-10-22
i-Mask Advance Squash Club 1,Thunder 1,Cornwall Street Squash Centre,4,2025-11-05
Thunder 1,UST,Cornwall Street Squash Centre,5,2025-11-12
i-Mask Advance Squash Club 1,Physical Chess 2,Cornwall Street Squash Centre,6,2025-11-19
Kinetic 1,Social Squash Team,HK Squash Centre,7,2025-11-26
Physical Chess 2,UST,Cornwall Street Squash Centre,7,2025-11-26
Xavier,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,7,2025-11-26
UST,Xavier,Cornwall Street Squash Centre,8,2025-12-10
Physical Chess 2,Thunder 1,Cornwall Street Squash Centre,11,2026-01-14
i-Mask Advance Squash Club 1,UST,Cornwall Street Squash Centre,11,2026-01-14
Xavier,Thunder 1,Cornwall Street Squash Centre,12,2026-01-21
Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7A,Hong Kong Cricket Club,12,2026-01-21
Hong Kong Football Club 7B,Hong Kong Football Club 7A,Hong Kong Football Club,12,2026-01-21
Xavier,Physical Chess 2,Cornwall Street Squash Centre,14,2026-02-04
Thunder 1,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,15,2026-02-11
UST,Thunder 1,Cornwall Street Squash Centre,16,2026-03-04
Physical Chess 2,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,17,2026-03-11
Social Squash Team,Kinetic 1,HK Squash Centre,18,2026-03-18
UST,Physical Chess 2,Cornwall Street Squash Centre,18,2026-03-18
i-Mask Advance Squash Club 1,Xavier,Cornwall Street Squash Centre,18,2026-03-18
Xavier,UST,Cornwall Street Squash Centre,19,2026-03-25
Thunder 1,Physical Chess 2,Cornwall Street Squash Centre,22,2026-04-29
UST,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,22,2026-04-29
