Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club 6A,18,14,4,80,0,1,0,0,66,24
Sovereign Group LRC Div 6,18,15,3,69,0,0,0,2,55,35
Hong Kong Football Club 6B,18,12,6,64,0,2,0,2,52,38
Racketlon Hong Kong,18,10,8,62,3,11,0,0,54,36
Vitality Squash 1,18,12,6,58,3,1,3,0,52,38
Head Sha Tin 2,18,6,12,46,0,5,0,1,40,50
Global 1,18,7,11,44,0,0,0,0,37,53
Kinetic 2,18,6,12,41,0,2,0,0,39,51
HKU 1,18,6,12,36,10,1,1,0,33,57
Smart Squash 3,18,2,16,19,7,0,1,0,22,68
