Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier Ladies,20,15,5,73,0,1,0,0,58,22
Hong Kong Cricket Club Rockettes,20,15,5,68,4,1,0,1,53,27
Polladies,20,11,9,58,1,0,0,0,47,33
Hong Kong Football Club L3B,20,10,10,45,0,0,1,0,36,44
Hong Kong Football Club L3A,20,5,15,28,1,4,0,0,23,57
Hong Kong Football Club L3C,20,4,16,27,0,0,0,0,23,57
