Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Phoenix 1,16,14,2,75,0,0,0,0,61,19
The Hong Kong Jockey Club M4,16,11,5,69,0,5,0,0,58,22
Hong Kong Cricket Club Young Masters,16,12,4,65,0,0,0,0,53,27
Perrier Sergio Tacchini KCC M4,16,11,5,63,0,0,0,0,52,28
WAKO Masters,16,10,6,59,0,0,0,0,49,31
Bolton,16,7,9,42,0,0,0,0,37,43
HK Club Blue,16,4,12,25,0,0,0,0,22,58
Hong Kong Football Club M4,16,3,13,24,0,0,0,0,22,58
Royal Hong Kong Yacht Club M4,16,0,16,6,5,0,0,0,6,74
