Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier Sergio Tacchini KCC 6,20,19,1,100,0,5,0,0,81,19
Hong Kong Football Club 8A,20,18,2,98,0,1,0,0,80,20
Head Sha Tin 3,20,14,6,81,0,0,0,0,67,33
Hong Kong Cricket Club 4,20,14,6,77,0,0,0,0,63,37
Hong Kong Football Club 8C,20,13,7,71,0,0,0,0,58,42
Friend Club 4,20,10,10,60,4,0,0,0,50,50
Hong Kong Football Club 8B,20,5,15,53,0,1,0,0,48,52
The Hong Kong Jockey Club D8,20,8,12,47,1,2,0,0,39,61
Star River 1,20,4,16,36,0,1,0,0,32,68
Discovery Bay,20,5,15,18,7,2,0,0,29,71
Target,20,0,20,3,0,0,0,0,3,97
