Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Cricket Club 8,22,19,3,103,0,5,0,0,84,26
i-Mask Advance Squash Club 14,22,18,4,98,0,14,0,0,80,30
Head Sha Tin 6,22,14,8,86,0,11,0,0,72,38
Giant 4,22,15,7,82,0,7,1,3,68,42
KYS 1,22,15,7,82,2,11,0,1,67,43
Skyers,22,13,9,80,1,10,0,0,67,43
Hong Kong Football Club 18,22,12,10,71,0,14,0,1,59,51
Spark 4,22,9,13,56,37,4,0,0,47,62
Sun Baby,22,5,17,42,22,9,0,0,40,69
Kwai Tsing District Squash Club 3,22,6,16,40,1,3,0,0,34,75
Relay 2,22,3,19,25,8,16,0,0,22,87
Vitality Squash 5,22,3,19,14,37,4,4,0,18,92
