Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Exclamation,22,21,1,111,0,0,0,5,90,20
i-Mask Advance Squash Club 11,22,20,2,102,0,5,0,0,84,26
Alpha CUHK 2,22,15,7,95,0,10,0,1,80,30
Global 2,22,16,6,90,0,0,0,0,74,36
Hong Kong Football Club 16,22,16,6,90,0,5,0,0,74,36
Head Sha Tin 5,22,13,9,74,0,1,0,0,61,49
Airporterz,22,7,15,47,6,0,0,0,48,62
Star River 4,22,7,15,43,1,0,0,0,36,74
Winter Warriors,22,6,16,40,1,6,0,0,34,76
Craigengower Cricket Club,22,6,16,35,20,1,5,0,35,75
Mass,22,2,20,25,2,6,0,0,23,87
CSD,22,3,19,14,5,1,1,0,21,89
