Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,18,16,2,86,0,3,0,0,70,20
Ricci Hall Old Boys' Association,18,11,7,67,4,4,0,0,56,34
Hong Kong Football Club M2A,18,12,6,62,0,2,0,0,51,39
Friend Club Masters,18,11,7,60,3,0,0,0,50,40
United Services Recreation Club M2,18,6,12,45,0,5,0,0,39,51
Sovereign Group LRC Master,18,4,14,33,1,5,0,0,29,61
Discovery Bay Masters,18,3,15,23,13,2,0,0,20,70
