Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club M3B,18,14,4,70,0,0,0,0,57,33
Hong Kong Football Club M3A,18,11,7,62,0,0,0,0,51,39
Hong Kong Cricket Club M3,18,10,8,58,0,0,0,0,48,42
Jaws Master,18,10,8,54,0,0,0,0,44,46
American Club-Yacht Club,18,8,10,50,0,0,0,0,43,47
Titlows Masters,18,6,12,47,0,0,0,0,41,49
Alpha CUHK Master,18,4,14,35,0,0,0,0,31,59
