Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
HKFS,22,18,4,98,0,1,0,0,80,30
Flash,22,17,5,94,0,3,0,0,78,32
Invader Squash,22,18,4,89,0,3,0,0,71,39
Police 2,22,14,8,86,0,2,0,0,72,38
ZOMA,22,14,8,76,0,2,0,0,62,48
Star River 3,22,11,11,65,0,1,0,0,54,56
Phoenix 2,22,9,13,62,6,0,0,0,53,57
Relay 1,22,9,13,61,1,0,0,0,52,58
HKCC Tuesday Night Rockers,22,9,13,58,0,1,0,0,49,61
South China Athletic Association,22,5,17,47,0,1,0,0,42,68
Kinetic 6,22,7,15,46,2,2,0,0,43,67
Mark Six,22,1,21,5,9,2,0,0,4,106
