Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club L1,16,12,4,46,0,0,0,1,34,14
Perrier Sergio Tacchini KCC L1,16,10,6,37,0,2,0,1,27,21
Young Player L1B,16,10,6,37,0,0,1,0,28,20
Hong Kong Cricket Club L1,16,6,10,24,0,0,1,0,19,29
Young Player L1A,16,2,14,13,2,0,1,1,12,36
