Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
North District Sports Association 3,18,15,3,84,0,5,0,8,69,21
i-Mask Advance Squash Club 16,18,13,5,75,0,7,0,0,62,28
HDSC 1,18,10,8,67,0,6,0,10,57,33
Hong Kong Cricket Club 9,18,11,7,61,0,5,0,5,52,38
Head Sha Tin 7,18,11,7,60,0,9,0,1,50,40
Kinetic 8,18,3,15,13,13,0,0,5,14,76
Vitality Squash 6,18,1,17,-28,19,0,29,0,11,79
