Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier Sergio Tacchini KCC 8,21,18,3,97,0,3,0,0,80,25
Mercury,21,16,5,83,0,2,0,5,67,38
Hong Kong Football Club 13,21,14,7,80,0,3,0,0,66,39
Tuen Mun Squash Club 3,21,14,7,80,0,5,0,10,66,39
Bravo,21,9,12,53,6,1,5,0,51,54
Star River 2,21,7,14,51,0,2,0,6,44,61
Progressive Squash Club,21,3,18,28,0,0,0,2,25,80
Vitality Squash 3,21,3,18,6,11,1,18,0,21,84
