Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Super 8,22,20,2,103,2,5,0,2,83,27
The Zero Squash Club D10,22,17,5,95,0,0,0,0,78,32
Hong Kong Football Club 10A,22,17,5,93,0,0,1,0,77,33
Andy and Friends,22,15,7,78,0,0,0,0,63,47
Hong Kong Football Club 10B,22,13,9,71,0,0,1,0,59,51
Alpha CUHK 1,22,11,11,70,0,1,0,0,59,51
Police 1,22,9,13,58,0,0,0,0,49,61
Tomcat,22,9,13,58,0,0,0,0,49,61
Hong Kong Cricket Club 5,22,10,12,57,1,2,0,2,47,63
i-Mask Advance Squash Club 5,22,7,15,54,0,6,0,0,47,63
Xavier,22,4,18,46,0,0,0,0,42,68
Royal Hong Kong Yacht Club 10,22,0,22,5,11,0,2,0,7,103
