Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
7NT,21,18,3,105,0,4,0,0,87,18
i-Mask Advance Squash Club 13,21,19,2,103,0,5,0,0,84,21
The Zero Squash Club D17,21,16,5,87,0,6,0,0,71,34
Kinetic 7,21,11,10,64,0,1,0,3,53,52
Giant 3,21,10,11,58,0,3,0,0,50,55
Kwai Tsing District Squash Club 2,21,4,17,30,0,3,0,1,26,79
Latecomers,21,4,17,17,15,0,5,0,31,73
Friend Club 6,21,2,19,17,7,0,0,1,17,87
