Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Fung King Tough,22,18,4,96,0,6,0,0,78,32
i-Mask Advance Squash Club 4,22,17,5,93,0,4,0,0,77,33
Twister 1,22,17,5,93,0,3,0,1,76,34
United Services Recreation Club 2,22,15,7,84,0,3,0,0,71,39
Hong Kong Football Club 7,22,13,9,77,0,5,0,0,64,46
The Zero Squash Club D7,22,11,11,68,0,7,0,3,57,53
Spark 2,22,11,11,61,17,6,3,0,53,57
Friend Club 3,22,9,13,56,12,2,0,0,47,63
YLJR 1,22,8,14,53,13,2,0,0,45,65
Neptune,22,8,14,48,0,9,1,0,45,65
i-Mask Advance Squash Club 3,22,5,17,31,11,3,0,0,26,84
Tuen Mun Squash Club 1,22,0,22,21,0,3,0,0,21,89
