Team,Most Games,Most Wins,Highest Win Percentage
Friend Club 3,"Chan Siu Kwan, Sze James Wang Cho (17)","Sze James Wang Cho, Choi Kenny Wing Kin, Ho Chun Yu (5)",Choi Kenny Wing Kin (50.0%)
Global Squash 1,"Chan Ming Yan Calvin, Mak Chun Wai (17)",Chan Ming Yan Calvin (11),Ching Andus Kin Nok (66.7%)
Hong Kong Cricket Club 4,Achouch Frank (12),"Janes Gareth, Sheethal Kumar Palash (8)",Sheethal Kumar Palash (100.0%)
Hong Kong Football Club 6A,Derouet Yann (15),Hathiramani Dinesh (9),Leung Nok Yi (80.0%)
Hong Kong Football Club 6B,Rundle David Christopher (12),"Tjia Jonathan, Rundle David Christopher (6)",Tjia Jonathan (75.0%)
Hong Kong Football Club 6C,Tanner Julian (15),Cheng August Huan-Chen (10),Katsande Danai (88.9%)
Kowloon Cricket Club 6A,Cheng Tak Kwong (17),Li Ho Sum (14),Li Ho Sum (93.3%)
Kowloon Cricket Club 6B,Ho Yiu Wah Hendry (16),Ho Yiu Wah Hendry (14),Lau Wai Tung (100.0%)
Social Squash Team,Raducki Stephen (17),Raducki Stephen (9),Raducki Stephen (52.9%)
United Services Recreation Club 2,Chow Hester Yuk Ting (16),Chow Hester Yuk Ting (10),Mohammad Gull Ilyas (70.0%)
