Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,2,2,0,7,5,1
Hong Kong Cricket Club 1,2,2,0,6,4,2
FWD,2,1,1,5,4,2
Hong Kong Football Club 1A,2,1,1,4,3,3
Hong Kong Football Club 1B,2,0,2,2,2,4
Kowloon Cricket Club 1B,2,0,2,0,0,6
