Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L1A,2,1,1,4,3,3
Hong Kong Football Club L1,1,1,0,3,2,1
JESSICA L1,1,1,0,3,2,1
Kowloon Cricket Club L1B,1,0,1,1,1,2
Hong Kong Cricket Club L1,1,0,1,1,1,2
