Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 3,10,8,2,44,37,13
UST,11,7,4,38,31,24
Hong Kong Football Club 7A,11,5,6,31,26,29
Hong Kong Cricket Club 5,10,5,5,29,24,26
The Best Group 1,10,4,6,26,22,28
Kinetic 1,10,3,7,26,23,27
Vitality Squash 1,10,4,6,19,17,33
