Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L3,12,6,6,27,21,15
Hong Kong Cricket Club Rockettes,12,6,6,26,20,16
Hong Kong Football Club L3B,12,7,5,24,17,19
i-Mask Advance Squash Club L3,12,6,6,24,18,18
Hong Kong Football Club L3A,12,6,6,22,16,20
Hong Kong Football Club L3C,12,5,7,21,16,20
