Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
TNG 1,12,11,1,55,45,15
Greenfield,12,9,3,50,41,19
Royal Hong Kong Yacht Club Div 13,12,9,3,48,39,21
TNG 2,12,9,3,46,39,21
Squashathon PLZ,12,6,6,41,35,25
Arctic Circle,12,6,6,38,32,28
North District Sports Association 2,12,6,6,35,29,31
Bravo D13,12,5,7,31,26,34
M&M Squash,12,4,8,23,21,39
Physical Chess 4,12,2,10,22,20,40
Vitality Squash 3,12,3,9,19,16,44
Star River 3,12,2,10,19,17,43
