Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,"Wu Chi Wai, Wong Wai Ling Helen (9)",Wu Chi Wai (9),"Wu Chi Wai, Cheung Brian Sheung Yan (100.0%)"
Bravo D13,Chow Pui Sing (12),Chow Pui Sing (11),Chow Pui Sing (91.7%)
Greenfield,Chan Kwok Wa (11),Chan Kwok Wa (10),Chan Kwok Wa (90.9%)
M&M Squash,Yim Yu Tak (10),Wong Marcus (7),Wong Marcus (77.8%)
North District Sports Association 2,Leung Yat Hei (12),Dogra Vijendra Singh Balbirsing (7),Dogra Vijendra Singh Balbirsing (87.5%)
Physical Chess 4,Yuen Lok Hang (11),Yuen Lok Hang (9),Yuen Lok Hang (81.8%)
Royal Hong Kong Yacht Club Div 13,"Clayton Iain Michael, Zirah Pierre-Alexis Joachim (11)",Zirah Pierre-Alexis Joachim (9),Leung Keith Koon Chung (100.0%)
Squashathon PLZ,"Leung Hok Sum, Leung Ka Luen Wilson (10)",Leung Hok Sum (9),Leung Hok Sum (90.0%)
Star River 3,Wong Bao Kwong Chi (12),Wai Veronica Chi Man (7),Wai Veronica Chi Man (77.8%)
TNG 1,"Luk Hoi Fai, Kwok To Yan, Cheung Sky (8)",Luk Hoi Fai (8),Luk Hoi Fai (100.0%)
TNG 2,"Chan Hong Ting, Chan Shun Ting (9)",Chan Hong Ting (9),"Koon Long Ying, Chan Hong Ting (100.0%)"
Vitality Squash 3,"Tsoi Cheuk Hin Kieran, Luk Argen (10)",Chen Marshall Youpeng (6),Chen Marshall Youpeng (66.7%)
