Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Perrier Sergio Tacchini KCC 7,v,The Squash Club 2,Kowloon Cricket Club (KCC),19:00,"2-3(0-3,1-3,3-2,3-1,1-3)",11,16/01/2019
Honey Badger 1,v,HKU 2,HK Squash Centre (HKSC),19:00,"3-2(3-1,3-0,3-0,0-3,2-3)",12,23/01/2019
Studio Pro,v,Twister 2,Java Road (JRSC),19:00,"0-5(2-3,1-3,0-3,1-3,0-3)",12,23/01/2019
The Squash Club 2,v,Banbil,Cornwall Street (CSPSC),19:00,"5-0(3-0,3-0,3-0,3-1,3-0)",12,23/01/2019
Head Sha Tin 4,v,Perrier Sergio Tacchini KCC 7,Cornwall Street (CSPSC),19:00,"2-3(0-3,3-0,0-3,1-3,3-0)",12,23/01/2019
Banbil,v,Head Sha Tin 4,HK Squash Centre (HKSC),19:00,"0-5(0-3,0-3,0-3,1-3,0-3)",13,30/01/2019
HKU 2,v,Twister 2,HK Squash Centre (HKSC),19:00,"1-4(3-2,1-3,0-3,1-3,WO)",13,30/01/2019
The Squash Club 2,v,Studio Pro,Cornwall Street (CSPSC),19:00,"2-3(3-0,3-0,0-3,0-3,0-3)",13,30/01/2019
Perrier Sergio Tacchini KCC 7,v,Honey Badger 1,Kowloon Cricket Club (KCC),19:00,"1-4(1-3,3-0,1-3,2-3,0-3)",13,30/01/2019
Honey Badger 1,v,Banbil,HK Squash Centre (HKSC),19:00,"5-0(3-1,3-1,3-0,3-0,3-0)",14,20/02/2019
Studio Pro,v,HKU 2,Java Road (JRSC),19:00,"4-1(3-1,0-3,3-1,3-0,3-1)",14,20/02/2019
The Squash Club 2,v,Head Sha Tin 4,Kwun Chung (KCSC),19:00,"2-3(3-0,3-1,2-3,1-3,2-3)",14,20/02/2019
Twister 2,v,Perrier Sergio Tacchini KCC 7,Cornwall Street (CSPSC),19:00,"3-2(3-2,2-3,3-0,3-0,2-3)",14,20/02/2019
Perrier Sergio Tacchini KCC 7,v,HKU 2,Kowloon Cricket Club (KCC),19:00,"4-1(1-3,3-0,3-0,3-2,3-0)",15,06/03/2019
The Squash Club 2,v,Honey Badger 1,Cornwall Street (CSPSC),19:00,"2-3(3-0,3-1,0-3,0-3,0-3)",15,06/03/2019
Studio Pro,v,Head Sha Tin 4,Java Road (JRSC),19:00,"1-4(3-1,1-3,1-3,1-3,0-3)",15,06/03/2019
