Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Perrier Sergio Tacchini KCC M4,v,Bolton,Kowloon Cricket Club (KCC),18:30,"2-3(3-1,0-3,0-3,3-1,0-3)",1,11/10/2018
HK Club Blue,v,The Hong Kong Jockey Club M4,HK CLUB,18:30,"0-5(0-3,0-3,0-3,1-3,0-3)",1,11/10/2018
Royal Hong Kong Yacht Club M4,v,Hong Kong Football Club M4,Royal Hong Kong Yacht Club (RHKYC),18:30,"2-3(3-0,3-1,0-3,0-3,0-3)",1,11/10/2018
WAKO Masters,v,Phoenix 1,Masters - Java Road (M - JRSC),18:30,"3-2(2-3,1-3,3-1,3-0,3-1)",1,11/10/2018
Hong Kong Cricket Club Young Masters,v,[BYE],,,,1,11/10/2018
Hong Kong Football Club M4,v,HK Club Blue,Hong Kong Football Club (HKFC),18:30,"2-3(0-3,0-3,3-0,3-0,0-3)",2,18/10/2018
Hong Kong Cricket Club Young Masters,v,Royal Hong Kong Yacht Club M4,Hong Kong Cricket Club (HKCC),18:30,"5-0(3-0,3-1,3-1,3-2,3-0)",2,18/10/2018
The Hong Kong Jockey Club M4,v,WAKO Masters,HKJC Sha Tin Club House (HKJC),18:30,"5-0(3-1,3-1,3-1,3-0,3-0)",2,18/10/2018
Phoenix 1,v,Perrier Sergio Tacchini KCC M4,Masters - HK Squash Centre (M - HKSC),18:30,"4-1(3-1,3-1,3-0,1-3,3-1)",2,18/10/2018
Bolton,v,[BYE],,,,2,18/10/2018
Perrier Sergio Tacchini KCC M4,v,The Hong Kong Jockey Club M4,Kowloon Cricket Club (KCC),18:30,"1-4(1-3,2-3,0-3,3-0,0-3)",3,25/10/2018
Bolton,v,Phoenix 1,Masters - HK Squash Centre (M - HKSC),18:30,"2-3(0-3,3-2,0-3,2-3,3-2)",3,25/10/2018
HK Club Blue,v,Hong Kong Cricket Club Young Masters,HK CLUB,18:30,"0-5(0-3,0-3,0-3,0-3,0-3)",3,25/10/2018
Hong Kong Football Club M4,v,WAKO Masters,Hong Kong Football Club (HKFC),18:30,"2-3(3-1,3-0,0-3,1-3,1-3)",3,25/10/2018
Royal Hong Kong Yacht Club M4,v,[BYE],,,,3,25/10/2018
Hong Kong Football Club M4,v,Perrier Sergio Tacchini KCC M4,Hong Kong Football Club (HKFC),18:30,"1-4(2-3,3-0,0-3,1-3,0-3)",4,01/11/2018
WAKO Masters,v,Hong Kong Cricket Club Young Masters,Masters - Java Road (M - JRSC),18:30,"4-1(3-1,3-0,3-1,2-3,3-0)",4,01/11/2018
The Hong Kong Jockey Club M4,v,Bolton,HKJC Sha Tin Club House (HKJC),18:30,"3-2(3-1,3-0,3-1,0-3,0-3)",4,01/11/2018
Royal Hong Kong Yacht Club M4,v,HK Club Blue,Royal Hong Kong Yacht Club (RHKYC),18:30,"1-4(2-3,2-3,2-3,3-0,0-3)",4,01/11/2018
Phoenix 1,v,[BYE],,,,4,01/11/2018
Bolton,v,Hong Kong Football Club M4,Masters - HK Squash Centre (M - HKSC),18:30,"3-2(1-3,3-0,3-0,1-3,3-0)",5,08/11/2018
Perrier Sergio Tacchini KCC M4,v,Hong Kong Cricket Club Young Masters,Kowloon Cricket Club (KCC),18:30,"2-3(3-0,1-3,1-3,0-3,3-0)",5,08/11/2018
