Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Vitality Squash 6,v,Kinetic 8,Java Road (JRSC),17:00,"1-4(3-0,0-3,0-3,0-3,0-3)",1,06/10/2018
North District Sports Association 3,v,Hong Kong Cricket Club 9,Cornwall Street (CSPSC),17:00,"5-0(3-0,3-0,3-1,3-0,3-0)",1,06/10/2018
HDSC 1,v,Head Sha Tin 7,Kwun Chung (KCSC),17:00,"3-2(0-3,3-1,0-3,3-0,3-0)",1,06/10/2018
i-Mask Advance Squash Club 16,v,[BYE],,,,1,06/10/2018
i-Mask Advance Squash Club 16,v,North District Sports Association 3,Cornwall Street (CSPSC),17:00,"3-2(0-3,3-0,3-0,1-3,3-0)",2,13/10/2018
Kinetic 8,v,HDSC 1,Sir Denys Roberts (SDRSC),17:00,"0-5(0-3,0-3,0-3,0-3,0-3)",2,13/10/2018
Hong Kong Cricket Club 9,v,Vitality Squash 6,Hong Kong Cricket Club (HKCC),17:00,"5-0(WO,WO,WO,WO,WO)",2,13/10/2018
Head Sha Tin 7,v,[BYE],,,,2,13/10/2018
Vitality Squash 6,v,i-Mask Advance Squash Club 16,Java Road (JRSC),17:00,"1-4(1-3,1-3,0-3,0-3,3-1)",3,10/11/2018
Head Sha Tin 7,v,Kinetic 8,Cornwall Street (CSPSC),17:00,"3-2(3-1,3-0,0-3,3-0,0-3)",3,10/11/2018
HDSC 1,v,Hong Kong Cricket Club 9,Kwun Chung (KCSC),17:00,"4-1(3-1,3-2,3-0,3-0,1-3)",3,10/11/2018
North District Sports Association 3,v,[BYE],,,,3,10/11/2018
HDSC 1,v,i-Mask Advance Squash Club 16,Kwun Chung (KCSC),17:00,"2-3(0-3,3-0,0-3,3-0,1-3)",4,17/11/2018
Vitality Squash 6,v,North District Sports Association 3,Java Road (JRSC),17:00,"1-4(2-3,1-3,3-1,WO,WO)",4,17/11/2018
Hong Kong Cricket Club 9,v,Head Sha Tin 7,Hong Kong Cricket Club (HKCC),17:00,"4-1(3-2,3-2,3-0,1-3,3-2)",4,17/11/2018
Kinetic 8,v,[BYE],,,,4,17/11/2018
Hong Kong Cricket Club 9,v,Kinetic 8,Hong Kong Cricket Club (HKCC),17:00,"5-0(3-0,3-0,3-0,3-0,3-0)",5,01/12/2018
