Team,Played,Won,Lost,Points
Kowloon Cricket Club L1A,8,7,1,25
Hong Kong Football Club L1,8,4,4,18
JESSICA L1,8,4,4,16
Kowloon Cricket Club L1B,8,4,4,14
Hong Kong Cricket Club L1,8,1,7,7
