Team,Played,Won,Lost,Points
Smart Squash 2,9,6,3,34
i-Mask Advance Squash Club 7,9,5,4,31
i-Mask Advance Squash Club 6,9,6,3,29
JSA 1,9,5,4,27
Bravo D13,9,4,5,26
HKIS Div 13,9,4,5,25
NEXUS 3,9,5,4,24
Smart Squash 3,9,3,6,21
Vitality Squash 2,8,2,6,19
