Team,Played,Won,Lost,Points
Hong Kong Football Club 1A,10,7,3,26
Kowloon Cricket Club 1A,10,6,4,26
Hong Kong Cricket Club D1,10,6,4,22
Hong Kong Football Club 1B,10,5,5,21
FWD,10,3,7,13
Kowloon Cricket Club 1B,10,3,7,11
