Team,Played,Won,Lost,Points
Sha Tin 3,9,7,2,39
i-Mask Advance Squash Club 2,8,7,1,37
Physical Chess 3,9,6,3,33
Squashathon Zero,8,6,2,32
Kinetic 2,9,2,7,19
TOMCAT,9,2,7,18
LONGVIEW,8,0,8,1
