Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,8,8,0,27
Hong Kong Football Club M1B,8,6,2,23
Hong Kong Cricket Club M1A,8,3,5,16
Hong Kong Cricket Club M1B,8,1,7,8
Squashathon M+,8,2,6,6
