Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 5,8,7,1,36
7NT,9,7,2,35
GMDBB,8,7,1,33
Electrify Squash Div 11,9,6,3,33
The Zero Squash Club D11,8,6,2,33
Alpha CUHK,8,6,2,27
South China Athletic Association,8,3,5,20
ZOMA,9,2,7,19
Sea Bear,9,2,7,18
Tuen Mun Squash Club,8,1,7,13
Invader Squash,8,0,8,9
