Team,Played,Won,Lost,Points
Kowloon Cricket Club 4,9,8,1,43
YLJR,10,8,2,41
TNGX,10,5,5,36
Hong Kong Football Club 4B,10,6,4,32
X-Alpha 2,9,6,3,32
Sha Tin 1,9,5,4,28
Hong Kong Football Club 4A,10,3,7,23
The Squash Club 1,9,2,7,18
Hong Kong Cricket Club D4A,9,2,7,15
Hong Kong Cricket Club D4B,9,2,7,14
