Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club 2A,100.0,100.0,100.0,33.33333333333333,83.33333333333333,12
Kowloon Cricket Club 2,83.33333333333334,83.33333333333334,83.33333333333334,80.0,82.5,23
Hong Kong Football Club 2B,50.0,50.0,75.0,75.0,62.5,16
Young Player 2,20.0,0.0,40.0,20.0,20.0,20
Hong Kong Cricket Club 2,40.0,20.0,0.0,20.0,20.0,20
