Team Name,Home,Average Home Score,Average Away Score,home_away_diff
TNG 2,Cornwall Street Squash Centre,4.333333333333333,3.0,1.333333333333333
M&M Squash,Cornwall Street Squash Centre,1.5714285714285714,1.4,0.17142857142857149
Star River 3,Cornwall Street Squash Centre,1.5,1.3333333333333333,0.16666666666666674
North District Sports Association 2,Cornwall Street Squash Centre,2.7142857142857144,2.6,0.11428571428571432
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.3333333333333335,3.3,0.03333333333333366
Arctic Circle,Cornwall Street Squash Centre,3.5,3.6,-0.10000000000000009
Squashathon PLZ,Cornwall Street Squash Centre,2.5,2.6,-0.10000000000000009
Physical Chess 4,Cornwall Street Squash Centre,1.25,1.6,-0.3500000000000001
TNG 1,Cornwall Street Squash Centre,3.5,4.0,-0.5
Vitality Squash 3,HK Squash Centre,1.1,1.8333333333333333,-0.7333333333333332
Bravo D13,Cornwall Street Squash Centre,1.8333333333333333,2.75,-0.9166666666666667
Greenfield,Cornwall Street Squash Centre,2.3333333333333335,4.0,-1.6666666666666665
