Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,"Wu Chi Wai, Hong Hang Shan (5)",Wu Chi Wai (5),Wu Chi Wai (100.0%)
Bravo D13,"Chow Pui Sing, Pan Dan (5)",Chow Pui Sing (4),Chow Pui Sing (80.0%)
Greenfield,Chan Kwok Wa (6),Chan Kwok Wa (6),Chan Kwok Wa (100.0%)
M&M Squash,Wong Ho Yi (5),Wong Ho Yi (1),Wong Ho Yi (20.0%)
North District Sports Association 2,Leung Yat Hei (5),Leung Yat Hei (1),Leung Yat Hei (20.0%)
Physical Chess 4,Yuen Lok Hang (5),Yuen Lok Hang (3),Yuen Lok Hang (60.0%)
Royal Hong Kong Yacht Club Div 13,Zirah Pierre-Alexis Joachim (6),Zirah Pierre-Alexis Joachim (6),Zirah Pierre-Alexis Joachim (100.0%)
Squashathon PLZ,"Leung Hok Sum, Leung Ka Luen Wilson (5)",Leung Hok Sum (4),Leung Hok Sum (80.0%)
Star River 3,"Tam Rony Kwok Ki, Wong Bao Kwong Chi (6)",Leung Venus Wing Sze (2),Leung Venus Wing Sze (40.0%)
TNG 1, (nan), (nan), (nan%)
TNG 2,"Chan Hong Ting, Chan Shun Ting (5)",Chan Hong Ting (5),Chan Hong Ting (100.0%)
Vitality Squash 3,Luk Argen (6),Chen Marshall Youpeng (3),Chen Marshall Youpeng (60.0%)
