Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,avg_win_perc
Hong Kong Football Club L3A,33.33333333333334,100.0,50.0,-33.33333333333333,37.5
JESSICA L3,-20.0,33.33333333333334,-16.666666666666657,33.33333333333334,7.500000000000007
Hong Kong Cricket Club L3,-10.0,26.666666666666657,0.0,-35.0,-4.583333333333336
Hong Kong Football Club L3C,-25.0,0.0,0.0,-50.0,-18.75
Hong Kong Football Club L3B,-100.0,16.66666666666667,-16.666666666666657,0.0,-24.999999999999993
