Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 3B,2,2,0,9,7,3,0,1,0,0
Kowloon Cricket Club 3A,2,1,1,7,6,4,0,0,0,0
X-Alpha 1,2,1,1,7,6,4,1,0,0,0
NEXUS 1,2,1,1,6,5,5,0,0,0,0
Happy Squash 1,2,1,1,6,5,5,1,1,0,0
United Services Recreation Club 1,2,1,1,5,4,6,0,0,0,0
Hong Kong Football Club 3B,2,1,1,4,3,7,0,0,0,0
Hong Kong Football Club 3A,2,0,2,4,4,6,0,0,0,0
