Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 5,18,18,0,86,68,22
The Squash Club 3,18,12,6,67,55,35
BOSS,18,11,7,62,51,39
Star River 1,19,10,9,59,49,46
Kinetic 3,18,11,7,58,47,43
Tuen Mun Squash Club,19,10,9,55,45,50
HKCC Tuesday Night Rockers,18,8,10,51,43,47
Global Squash 2,18,7,11,51,44,46
i-Mask Advance Squash Club 4,18,5,13,41,36,54
Invader Squash,18,5,13,35,30,60
7NT,18,3,15,35,32,58
