Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L2,20,19,1,82,63,17
Hong Kong Football Club L2B,20,15,5,68,53,27
JESSICA L2,20,11,9,64,53,28
Hong Kong Football Club L2A,20,7,13,44,37,43
Hong Kong Football Club L2C,20,5,15,23,20,61
Hong Kong Cricket Club L2,20,3,17,18,15,65
