Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,20,18,2,78,60,20
Hong Kong Football Club M2A,20,16,4,72,56,24
Hong Kong Cricket Club M2B,20,9,11,48,39,41
Hong Kong Cricket Club M2A,20,10,10,47,37,43
Ladies Recreation Club M2A,20,5,15,35,31,49
Ladies Recreation Club M2B,20,2,18,12,17,63
