Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club L4,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club,7,2025-11-14
The Squash Club L4,Hong Kong Football Club JSA,Cornwall Street Squash Centre,7,2025-11-14
JESSICA Mochis,Squashathon Ladies,HK Squash Centre,7,2025-11-14
