Home Team,Away Team,Venue,Match Week,Date
Friend Club,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,6,2024-11-06
Hong Kong Football Club 9,i-Mask Advance Squash Club 3,Hong Kong Football Club,6,2024-11-06
HKPF Squash Team,Kowloon Cricket Club 9,Cornwall Street Squash Centre,6,2024-11-06
The Best Group 2,Centre Squash,Cornwall Street Squash Centre,6,2024-11-06
Centre Squash,Friend Club,HK Squash Centre,7,2024-11-13
Kowloon Cricket Club 9,The Best Group 2,Kowloon Cricket Club,7,2024-11-13
i-Mask Advance Squash Club 3,HKPF Squash Team,Cornwall Street Squash Centre,7,2024-11-13
Kwai Tsing District Squash Club,Hong Kong Football Club 9,Cornwall Street Squash Centre,7,2024-11-13
Hong Kong Football Club 9,Friend Club,Hong Kong Football Club,8,2024-11-20
i-Mask Advance Squash Club 3,The Best Group 2,Cornwall Street Squash Centre,8,2024-11-20
Centre Squash,Kowloon Cricket Club 9,HK Squash Centre,8,2024-11-20
Kwai Tsing District Squash Club,HKPF Squash Team,Pei Ho Street Sports Centre,8,2024-11-20
Kowloon Cricket Club 9,Friend Club,Kowloon Cricket Club,9,2024-11-27
Centre Squash,i-Mask Advance Squash Club 3,HK Squash Centre,9,2024-11-27
The Best Group 2,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,9,2024-11-27
HKPF Squash Team,Hong Kong Football Club 9,Cornwall Street Squash Centre,9,2024-11-27
i-Mask Advance Squash Club 3,Friend Club,Cornwall Street Squash Centre,10,2024-12-18
Kowloon Cricket Club 9,Kwai Tsing District Squash Club,Kowloon Cricket Club,10,2024-12-18
Centre Squash,Hong Kong Football Club 9,HK Squash Centre,10,2024-12-18
The Best Group 2,HKPF Squash Team,Cornwall Street Squash Centre,10,2024-12-18
Friend Club,The Best Group 2,Cornwall Street Squash Centre,11,2025-01-08
HKPF Squash Team,Centre Squash,Cornwall Street Squash Centre,11,2025-01-08
Kowloon Cricket Club 9,Hong Kong Football Club 9,Kowloon Cricket Club,11,2025-01-08
