Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
X-Alpha 2,100.0,87.5,68.75,50.0,71.42857142857143,75.53571428571429,78
Hong Kong Football Club 5A,68.75,81.25,75.0,81.25,57.14285714285714,72.67857142857142,78
Physical Chess 1,43.75,62.5,73.33333333333333,53.333333333333336,71.42857142857143,60.86904761904761,76
Hong Kong Racketlon Association 1,25.0,56.25,43.75,68.75,68.75,52.5,80
The Squash Club 1,62.5,37.5,37.5,50.0,46.666666666666664,46.83333333333333,79
Happy Squash 2,62.5,37.5,50.0,35.714285714285715,45.45454545454545,46.23376623376623,71
Hong Kong Football Club 5B,50.0,25.0,50.0,46.15384615384615,50.0,44.23076923076923,71
Uncle,50.0,50.0,62.5,37.5,7.6923076923076925,41.53846153846153,77
Squashathon,37.5,50.0,31.25,53.333333333333336,30.76923076923077,40.570512820512825,76
i-Mask Advance Squash Club 1,0.0,12.5,6.666666666666667,15.384615384615385,40.0,14.910256410256409,70
