Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Royal Hong Kong Yacht Club M4,v,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club,19:00:00,,9,27/11/2025
Hong Kong Club Blue,v,Hong Kong Football Club M4B,The Hong Kong Club,19:00:00,,9,27/11/2025
Hong Kong Cricket Club M4,v,WAKO,Hong Kong Cricket Club,19:00:00,,9,27/11/2025
Kowloon Cricket Club M4,v,WAKO,Kowloon Cricket Club,19:00:00,,10,11/12/2025
Hong Kong Club Blue,v,Hong Kong Cricket Club M4,The Hong Kong Club,19:00:00,,10,11/12/2025
United Services Recreation Club M4,v,Royal Hong Kong Yacht Club M4,United Services Recreation Club,19:00:00,,10,11/12/2025
SKCSC M4,v,Bolton,Masters - Cornwall Street Squash Centre,19:00:00,,10,11/12/2025
Hong Kong Football Club M4B,v,Hong Kong Football Club M4A,Hong Kong Football Club,19:00:00,,10,11/12/2025
SKCSC M4,v,Kowloon Cricket Club M4,Masters - Cornwall Street Squash Centre,19:00:00,,11,18/12/2025
Royal Hong Kong Yacht Club M4,v,Bolton,Royal Hong Kong Yacht Club,19:00:00,,11,18/12/2025
United Services Recreation Club M4,v,Hong Kong Football Club M4B,United Services Recreation Club,19:00:00,,11,18/12/2025
Hong Kong Football Club M4A,v,Hong Kong Cricket Club M4,Hong Kong Football Club,19:00:00,,11,18/12/2025
WAKO,v,Hong Kong Club Blue,Masters - Harbour Road Sports Centre,19:00:00,,11,18/12/2025
Kowloon Cricket Club M4,v,Hong Kong Club Blue,Kowloon Cricket Club,19:00:00,,12,08/01/2026
WAKO,v,Hong Kong Football Club M4A,Masters - Harbour Road Sports Centre,19:00:00,,12,08/01/2026
Hong Kong Cricket Club M4,v,United Services Recreation Club M4,Hong Kong Cricket Club,19:00:00,,12,08/01/2026
Hong Kong Football Club M4B,v,Bolton,Hong Kong Football Club,19:00:00,,12,08/01/2026
SKCSC M4,v,Royal Hong Kong Yacht Club M4,Masters - Cornwall Street Squash Centre,19:00:00,,12,08/01/2026
Kowloon Cricket Club M4,v,Royal Hong Kong Yacht Club M4,Kowloon Cricket Club,19:00:00,,13,15/01/2026
SKCSC M4,v,Hong Kong Football Club M4B,Masters - Cornwall Street Squash Centre,19:00:00,,13,15/01/2026
Hong Kong Cricket Club M4,v,Bolton,Hong Kong Cricket Club,19:00:00,,13,15/01/2026
