Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Physical Chess 4,80.0,80.0,100.0,60.0,80.0,80.0,25
United Services Recreation Club 3,45.45454545454545,63.63636363636363,90.9090909090909,81.81818181818183,80.0,72.36363636363636,54
7NT,60.0,60.0,80.0,80.0,80.0,72.0,25
Hong Kong Cricket Club Rockers,90.0,60.0,60.0,70.0,70.0,70.0,50
Hong Kong Football Club 15,36.36363636363637,81.81818181818183,81.81818181818183,72.72727272727273,54.54545454545454,65.45454545454547,55
SKCSC,50.0,25.0,25.0,75.0,75.0,50.0,20
Sha Tin Squash Rackets Club 5,80.0,40.0,40.0,20.0,40.0,44.0,25
Tuen Mun Squash Club,60.0,0.0,60.0,60.0,40.0,44.0,25
TNG 2,40.0,20.0,20.0,40.0,60.0,36.0,25
South China Athletic Association,40.0,40.0,40.0,40.0,12.5,34.5,48
The Squash Club 2,40.0,40.0,20.0,25.0,25.0,30.0,23
Invader Squash,10.0,20.0,40.0,22.22222222222222,44.44444444444444,27.333333333333336,48
