Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Bolton,Masters - Harbour Road Sports Centre,3.0,0.0,3.0
Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club,2.5,0.0,2.5
Hong Kong Football Club M4B,Hong Kong Football Club,3.0,2.0,1.0
WAKO,Masters - Harbour Road Sports Centre,3.0,2.5,0.5
United Services Recreation Club M4,United Services Recreation Club,2.0,2.0,0.0
Hong Kong Club Blue,The Hong Kong Club,2.5,3.0,-0.5
Kowloon Cricket Club M4,Kowloon Cricket Club,2.0,2.5,-0.5
Hong Kong Cricket Club M4,Hong Kong Cricket Club,1.0,3.0,-2.0
Hong Kong Football Club M4A,Hong Kong Football Club,2.0,5.0,-3.0
SKCSC M4,Masters - Cornwall Street Squash Centre,0.0,3.0,-3.0
