Team,Played,Won,Lost,Points
Hong Kong Cricket Club L2A,9,9,0,35
Hong Kong Football Club L2B,8,6,2,31
Hong Kong Football Club L2C,7,3,4,17
Hong Kong Football Club L2A,7,3,4,16
United,7,2,4,10
Hong Kong Cricket Club L2B,7,1,5,9
Hong Kong Cricket Club L2C,7,1,6,8
