Team,Played,Won,Lost,Points
Hong Kong Football Club M3C,11,10,1,51
Howards Folly Wine LRC M3,11,9,2,47
American Club - Yacht Club,11,6,5,41
Phoenix,11,6,5,38
United Services Recreation Club M3,11,7,4,37
Hong Kong Cricket Club M3,11,7,4,35
Hong Kong Football Club M3B,11,6,5,32
Discovery Bay,11,5,6,32
Jaws Master,11,4,7,29
The Hong Kong Jockey Club M3,11,4,7,27
Hong Kong Football Club M3A,11,2,9,19
Titlows Master,11,0,11,8
