Team,Played,Won,Lost,Points
The Zero Squash Club D19,9,8,1,44
Vitality Squash 3,7,6,1,35
Hong Kong Cricket Club 19,7,5,2,28
Kwai Tsing District Squash Club 3,8,4,4,25
Spark 5,8,3,5,20
PERRIER SERGIO TACCHINI KCC 8,7,1,6,8
Perrier Mix,8,0,8,-4
