Team,Played,Won,Lost,Points
The Expendables,10,9,1,38
Hong Kong Football Club M1B,11,7,4,35
Hong Kong Cricket Club M1A,10,6,4,29
Hong Kong Football Club M1A,11,4,7,20
Hong Kong Club Gold,11,4,7,19
Hong Kong Cricket Club M1B,11,2,9,19
