Team,Played,Won,Lost,Points
Warriors 3,11,9,2,49
Mark Six,11,8,3,44
Kwai Tsing District Squash Club 2,11,7,4,43
Mad Hatters,10,7,3,39
Squashthon,10,5,5,31
KYS 1,11,4,7,29
Friend Club 5,11,0,11,6
Craigengower Cricket Club,11,3,8,1
