Team,Played,Won,Lost,Points
TOMCAT,11,8,3,45
Studio Pro,11,8,3,44
TNG 2,11,6,5,38
Kinetic 2,11,6,5,37
Revolution,11,6,5,30
Vitality Squash 1,11,4,7,28
i-Mask Advance Squash Club 8,11,3,8,23
Yuen Long JR 2,11,3,8,19
