Team,Played,Won,Lost,Points
Hong Kong Cricket Club Rockettes,11,10,1,39
Hong Kong Football Club L3A,11,7,4,36
Perrier Ladies A,11,6,5,30
Perrier Ladies B,11,5,6,27
Hong Kong Football Club L3B,11,4,7,20
Hong Kong Cricket Club L3,11,1,10,9
