Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Kowloon Cricket Club 6B,83.33333333333334,100.0,100.0,100.0,80.0,92.66666666666667,27
Hong Kong Football Club 6A,80.0,80.0,20.0,60.0,80.0,64.0,25
Kowloon Cricket Club 6A,100.0,60.0,60.0,20.0,66.66666666666666,61.33333333333333,23
Fusion Squash Club 1,83.33333333333334,25.0,75.0,50.0,50.0,56.66666666666667,22
Uncles,60.0,60.0,40.0,80.0,25.0,53.0,24
Hong Kong Football Club 6B,40.0,60.0,40.0,40.0,40.0,44.0,25
Hong Kong Football Club 6C,66.66666666666666,16.666666666666664,50.0,33.33333333333333,50.0,43.33333333333333,30
Global Squash 1,40.0,60.0,60.0,40.0,0.0,40.0,25
X-Alpha 3,50.0,40.0,20.0,75.0,0.0,37.0,22
Hong Kong Cricket Club D6,0.0,0.0,71.42857142857143,42.857142857142854,57.14285714285714,34.285714285714285,35
Ladies Recreation Club Div 6,0.0,50.0,25.0,25.0,66.66666666666666,33.33333333333333,19
Electrify Squash Div 6,0.0,75.0,66.66666666666666,0.0,0.0,28.333333333333332,16
