Home Team,Away Team,Venue,Match Week,Date
HKIS Div 15,Squashathon X,HK Squash Centre,4,2025-10-25
North District Sports Association 3,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,7,2025-12-13
Squashathon X,North District Sports Association 3,Kwun Chung Sports Centre,8,2025-12-20
HKIS Div 15,Squash Busters,Cornwall Street Squash Centre,8,2025-12-20
Squash Busters,Hong Kong Cricket Club D15,Cornwall Street Squash Centre,9,2026-01-10
North District Sports Association 3,United Services Recreation Club 4,Cornwall Street Squash Centre,9,2026-01-10
North District Sports Association 3,Hong Kong Cricket Club D15,Cornwall Street Squash Centre,11,2026-01-24
Squashathon X,HKIS Div 15,HK Squash Centre,11,2026-01-24
North District Sports Association 3,Squashathon X,Cornwall Street Squash Centre,15,2026-03-07
Squash Busters,HKIS Div 15,Cornwall Street Squash Centre,15,2026-03-07
North District Sports Association 3,HKIS Div 15,Cornwall Street Squash Centre,17,2026-03-21
HKIS Div 15,Squashathon X,HK Squash Centre,18,2026-03-28
North District Sports Association 3,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,21,2026-04-25
